,Ricardo,Chávez,68,229839
,Jonathan,Sabbatini,66,229845
,Daniel,Caligiuri,77,197083
,Stefano,Sensi,80,229857
Edu Expósito,Eduardo,Expósito Jaén,76,229862
David Carmo,David Mota,Teixeira Carmo,73,251616
,Alexander,Munksgaard,67,229873
,Dave,Romney,67,229879
,Aaron,Wan-Bissaka,83,229880
Eduardo Henrique,Eduardo,Henrique da Silva,71,229882
,Emmanuel,Hackman,67,229890
,Julian,Ryerson,68,229891
Lucas Ahijado,Lucas,Ahijado Quintana,68,229894
Jordi Calavera,Jordi,Calavera Espinach,70,229896
,Sandro,Lauper,70,229900
,Kik,Pierie,67,234925
,Abdülkerim,Bardakcı,69,229905
,Leon,Bailey,82,229906
,Svante,Ingelsson,67,229910
,Sebastian,Stolze,69,229923
,Erik,Wekesser,68,229925
,Kyle,Knoyle,66,229930
Pedro Rebocho,Pedro Miguel,Braga Rebocho,74,234930
,Juan,Agudelo,66,197166
,Axel,Disasi,77,229942
Anderson Lopes,Anderson José,Lopes de Souza,69,229949
,Lawrence Ati,Zigi,70,229956
,Márton,Dárdai,69,256780
,Luca,Netz,68,256781
,Fabien,Centonze,77,229971
,Jakub,Piotrowski,67,229973
,César,Montes,75,229980
,Ben,Chilwell,82,229984
Fran Villalba,Francisco José,Villalba Rodrigo,70,229991
,Nicolás,Lodeiro,80,197225
,Sebastian,Larsson,72,164459
,Khouma,Babacar,72,197231
,Bradley,Wright-Phillips,71,164464
,Gary,Cahill,74,164468
,Tom,Davies,75,230005
Pita,Carlos,Pita González,69,164470
Xisco,Francisco,Jiménez Tejada,69,164471
,Nahir,Besara,69,197240
,Vital,Nsimba,71,230019
,Johan,Dahlin,71,164484
,Joseph,Aidoo,74,230021
Javi Mier,Javier,Mier Martínez,69,246617
,Brad,Guzan,69,164505
,Faitout,Maouassa,77,230043
,Mason,Toye,67,242253
,Frank,Ronstadt,68,230047
,Lee,Evans,68,213105
,Drew,Moor,67,164529
,Maxime,Lopez,75,224030
,Jacob,Davenport,66,230070
